Age,Gender,Marital status,Education,Professional,Sector,Business line,Exğerience,Income,Satisfaction,Spending,Investment
51,Male,Married,Associate degree,Officer,Public sector,Mixed sector,20,17000,5,"PAYMENTS/BUILDINGS (Electricity, Water, Natural Gas, Rent, etc.)","Futures deposits, bonds, gold, stock"
23,Male,Single,High school,Technician,Private sector,Mixed sector,5,12000,5,Clothing expenditures,gold
52,Woman,Married,High school,Retired,Private sector,Mixed sector,20,9000,6,Basic Food Products,gold
33,Male,Married,Licence,Engineer,Private sector,Service industry,12,25000,4,Basic Food Products,"Gold, foreign exchange, stock, virtual currency"
51,Woman,Married,Associate degree,Preliminary accounting,Private sector,Commercial sector,10,16000,1,The education and needs of my children,gold
48,Male,Married,High school,Optical,Private sector,Service industry,20,12000,2,"PAYMENTS/BUILDINGS (Electricity, Water, Natural Gas, Rent, etc.)",foreign currency
49,Woman,Married,Licence,Business analyst,Private sector,Commercial sector,20,30000,8,School expenses,"Futures deposits, gold, foreign exchange, stock market"
27,Male,Single,Licence,General manager,Private sector,Service industry,5,65000,1,"PAYMENTS/BUILDINGS (Electricity, Water, Natural Gas, Rent, etc.)",foreign currency
22,Male,Single,Licence,Student,Private sector,Service industry,5,4000,1,Clothing expenditures,foreign currency
61,Woman,Married,Associate degree,Retired officer,Public sector,Service industry,20,9300,1,Basic Food Products,gold
33,Woman,Married,Associate degree,Branch,Private sector,Service industry,10,10000,1,Basic Food Products,gold
55,Male,Married,Licence,free,Public sector,Mixed sector,20,80000,10,Education,gold
67,Male,Married,Associate degree,Retired teacher,Public sector,Service industry,20,12000,1,Basic Food Products,gold
54,Woman,Married,Licence,Lawyer,Public sector,Service industry,20,51000,1,Basic Food Products,gold
45,Woman,Married,Licence,Social worker,Public sector,Service industry,20,17000,1,Basic Food Products,gold
42,Woman,Single,Associate degree,Accountant,Private sector,Commercial sector,15,13000,2,Basic Food Products,gold
53,Woman,Single,Licence,Publisher,Retired,Service industry,20,8500,2,"PAYMENTS/BUILDINGS (Electricity, Water, Natural Gas, Rent, etc.)",gold
41,Woman,Married,High school,Technician,Private sector,Service industry,10,10000,5,"PAYMENTS/BUILDINGS (Electricity, Water, Natural Gas, Rent, etc.)",gold
53,Woman,Married,Licence,Teacher,Public sector,Service industry,20,18000,1,Basic Food Products,gold
43,Woman,Married,Licence,Public assistant,Public sector,Mixed sector,15,10500,8,Clothing expenditures,term deposit
48,Woman,Single,Licence,Officer,Public sector,Service industry,20,15000,3,Basic Food Products,gold
55,Male,Married,Licence,Finance and Budget Senior Expert,Private sector,Service industry,20,30000,7,All,"stock, investment funds, stock market"
61,Male,Married,High school,Technician,Private sector,Commercial sector,20,8500,3,Basic Food Products,gold
52,Woman,Single,Licence,Officer,Public sector,Service industry,20,14000,2,Basic Food Products,"Gold, foreign currency"
34,Woman,Married,Licence,Teacher,Private sector,Service industry,12,12000,3,"PAYMENTS/BUILDINGS (Electricity, Water, Natural Gas, Rent, etc.)",foreign currency
45,Woman,Married,High school,Chef,Private sector,Service industry,12,12000,6,Basic Food Products,foreign currency
21,Male,Single,High school,Technician,Private sector,Service industry,5,9000,5,"PAYMENTS/BUILDINGS (Electricity, Water, Natural Gas, Rent, etc.)",gold
56,Male,Married,High school,Retired,Public sector,Service industry,20,11000,5,Basic Food Products,term deposit
26,Woman,Married,Licence,Engineer,Private sector,Commercial sector,5,31000,3,Basic Food Products,"Gold, foreign exchange, stock market"
60,Woman,Single,High school,retired,Private sector,Service industry,20,15000,3,Basic Food Products,gold
24,Woman,Single,Licence,Psychological counselor,Private sector,Service industry,5,9000,1,Basic Food Products,foreign currency
55,Woman,Married,High school,Retired,Private sector,Commercial sector,12,20000,5,Clothing expenditures,Investment Funds
50,Woman,Single,Licence,call operator,Public sector,Commercial sector,5,12000,6,"PAYMENTS/BUILDINGS (Electricity, Water, Natural Gas, Rent, etc.)",gold
49,Woman,Married,Licence,Employee,Public sector,Service industry,12,8000,1,"PAYMENTS/BUILDINGS (Electricity, Water, Natural Gas, Rent, etc.)",stock
44,Woman,Married,Licence,Nurse,Public sector,Service industry,20,20000,6,Basic Food Products,foreign currency
27,Male,Married,Licence,Engineer,Private sector,Commercial sector,5,25000,7,Basic Food Products,gold
50,Woman,Married,Licence,Public staff,Public sector,Service industry,15,16000,2,"PAYMENTS/BUILDINGS (Electricity, Water, Natural Gas, Rent, etc.)",stock
30,Woman,Single,Associate degree,Electrical Electronic Technician,Private sector,Commercial sector,5,12500,5,Clothing expenditures,gold
37,Male,Married,High school,Technician,Private sector,Service industry,12,16000,4,Basic Food Products,exchange
23,Woman,Single,Licence,Freelancer,Private sector,Commercial sector,5,10000,1,Cosmetics/Personal Care,gold
50,Male,Married,Licence,Retired,Retired,Service industry,20,10000,1,Basic Food Products,Investment Funds
33,Woman,Married,Licence,Teacher,Private sector,Service industry,12,11000,3,Basic Food Products,term deposit
28,Woman,Single,Licence,Teacher,Private sector,Service industry,10,11000,5,"Transportation and Travel Expenditures (fuel, maintenance, etc.)",gold
65,Male,Married,Doctorate,Economist,Retired,Mixed sector,20,13000,3,"PAYMENTS/BUILDINGS (Electricity, Water, Natural Gas, Rent, etc.)","Futures deposit, foreign currency"
47,Male,Single,Licence,graphic artist,Private sector,Commercial sector,20,19000,4,"PAYMENTS/BUILDINGS (Electricity, Water, Natural Gas, Rent, etc.)","Foreign exchange, investment funds"
33,Male,Single,Licence,Engineer,Private sector,Service industry,10,12000,5,Basic Food Products,foreign currency
24,Male,Single,Associate degree,Sales consultant,Private sector,Service industry,5,12000,2,Tobacco Products,"Gold, stock market"
30,Male,Single,Licence,Software engineer,Private sector,Service industry,12,28500,7,Valid for all,"Futures deposits, gold, currency"
27,Male,Married,Associate degree,Radiology technician,Private sector,Service industry,10,15000,4,"PAYMENTS/BUILDINGS (Electricity, Water, Natural Gas, Rent, etc.)",gold
59,Male,Married,Associate degree,Map cadastral technician,Private sector,Commercial sector,20,15000,5,Basic Food Products,gold
58,Male,Married,Degree,Tourist,Private sector,Service industry,20,250000,6,Credit,real estate
49,Woman,Married,Licence,Tourist,Public sector,Service industry,10,12000,1,Loan payment,real estate
21,,,,,,,5,3000,5,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
Yaş,,,,,,,Tecrübe,Gelir,Memnuniyet,,
51,,,,,,,20,17000,5,,
23,,,,,,,5,12000,5,,
52,,,,,,,20,9000,6,,
33,,,,,,,12,25000,4,,
51,,,,,,,10,16000,1,,
48,,,,,,,20,12000,2,,
49,,,,,,,20,30000,8,,
27,,,,,,,5,65000,1,,
22,,,,,,,5,4000,1,,
61,,,,,,,20,9300,1,,
33,,,,,,,10,10000,1,,
55,,,,,,,20,80000,10,,
67,,,,,,,20,12000,1,,
54,,,,,,,20,51000,1,,
45,,,,,,,20,17000,1,,
42,,,,,,,15,13000,2,,
53,,,,,,,20,8500,2,,
41,,,,,,,10,10000,5,,
53,,,,,,,20,18000,1,,
43,,,,,,,15,10500,8,,
48,,,,,,,20,15000,3,,
55,,,,,,,20,30000,7,,
61,,,,,,,20,8500,3,,
52,,,,,,,20,14000,2,,
34,,,,,,,12,12000,3,,
45,,,,,,,12,12000,6,,
21,,,,,,,5,9000,5,,
56,,,,,,,20,11000,5,,
26,,,,,,,5,31000,3,,
60,,,,,,,20,15000,3,,
24,,,,,,,5,9000,1,,
55,,,,,,,12,20000,5,,
50,,,,,,,5,12000,6,,
49,,,,,,,12,8000,1,,
44,,,,,,,20,20000,6,,
27,,,,,,,5,25000,7,,
50,,,,,,,15,16000,2,,
30,,,,,,,5,12500,5,,
37,,,,,,,12,16000,4,,
23,,,,,,,5,10000,1,,
50,,,,,,,20,10000,1,,
33,,,,,,,12,11000,3,,
28,,,,,,,10,11000,5,,
65,,,,,,,20,13000,3,,
47,,,,,,,20,19000,4,,
33,,,,,,,10,12000,5,,
24,,,,,,,5,12000,2,,
30,,,,,,,12,28500,7,,
27,,,,,,,10,15000,4,,
59,,,,,,,20,15000,5,,
58,,,,,,,20,250000,6,,
49,,,,,,,10,12000,1,,
21,,,,,,,5,3000,5,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
Yaş,,,,,,,Tecrübe,Gelir,Memnuniyet,,
51,,,,,,,20,17000,5,,
23,,,,,,,5,12000,5,,
52,,,,,,,20,9000,6,,
33,,,,,,,12,25000,4,,
51,,,,,,,10,16000,1,,
48,,,,,,,20,12000,2,,
49,,,,,,,20,30000,8,,
27,,,,,,,5,65000,1,,
22,,,,,,,5,4000,1,,
61,,,,,,,20,9300,1,,
33,,,,,,,10,10000,1,,
55,,,,,,,20,80000,10,,
67,,,,,,,20,12000,1,,
54,,,,,,,20,51000,1,,
45,,,,,,,20,17000,1,,
42,,,,,,,15,13000,2,,
53,,,,,,,20,8500,2,,
41,,,,,,,10,10000,5,,
53,,,,,,,20,18000,1,,
43,,,,,,,15,10500,8,,
48,,,,,,,20,15000,3,,
55,,,,,,,20,30000,7,,
61,,,,,,,20,8500,3,,
52,,,,,,,20,14000,2,,
34,,,,,,,12,12000,3,,
45,,,,,,,12,12000,6,,
21,,,,,,,5,9000,5,,
56,,,,,,,20,11000,5,,
26,,,,,,,5,31000,3,,
60,,,,,,,20,15000,3,,
24,,,,,,,5,9000,1,,
55,,,,,,,12,20000,5,,
50,,,,,,,5,12000,6,,
49,,,,,,,12,8000,1,,
44,,,,,,,20,20000,6,,
27,,,,,,,5,25000,7,,
50,,,,,,,15,16000,2,,
30,,,,,,,5,12500,5,,
37,,,,,,,12,16000,4,,
23,,,,,,,5,10000,1,,
50,,,,,,,20,10000,1,,
33,,,,,,,12,11000,3,,
28,,,,,,,10,11000,5,,
65,,,,,,,20,13000,3,,
47,,,,,,,20,19000,4,,
33,,,,,,,10,12000,5,,
24,,,,,,,5,12000,2,,
30,,,,,,,12,28500,7,,
27,,,,,,,10,15000,4,,
59,,,,,,,20,15000,5,,
58,,,,,,,20,250000,6,,
49,,,,,,,10,12000,1,,
21,,,,,,,5,3000,5,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
Yaş,,,,,,,Tecrübe,Gelir,Memnuniyet,,
51,,,,,,,20,17000,5,,
23,,,,,,,5,12000,5,,
52,,,,,,,20,9000,6,,
33,,,,,,,12,25000,4,,
51,,,,,,,10,16000,1,,
48,,,,,,,20,12000,2,,
49,,,,,,,20,30000,8,,
27,,,,,,,5,65000,1,,
22,,,,,,,5,4000,1,,
61,,,,,,,20,9300,1,,
33,,,,,,,10,10000,1,,
55,,,,,,,20,80000,10,,
67,,,,,,,20,12000,1,,
54,,,,,,,20,51000,1,,
45,,,,,,,20,17000,1,,
42,,,,,,,15,13000,2,,
53,,,,,,,20,8500,2,,
41,,,,,,,10,10000,5,,
53,,,,,,,20,18000,1,,
43,,,,,,,15,10500,8,,
48,,,,,,,20,15000,3,,
55,,,,,,,20,30000,7,,
61,,,,,,,20,8500,3,,
52,,,,,,,20,14000,2,,
34,,,,,,,12,12000,3,,
45,,,,,,,12,12000,6,,
21,,,,,,,5,9000,5,,
56,,,,,,,20,11000,5,,
26,,,,,,,5,31000,3,,
60,,,,,,,20,15000,3,,
24,,,,,,,5,9000,1,,
55,,,,,,,12,20000,5,,
50,,,,,,,5,12000,6,,
49,,,,,,,12,8000,1,,
44,,,,,,,20,20000,6,,
27,,,,,,,5,25000,7,,
50,,,,,,,15,16000,2,,
30,,,,,,,5,12500,5,,
37,,,,,,,12,16000,4,,
23,,,,,,,5,10000,1,,
50,,,,,,,20,10000,1,,
33,,,,,,,12,11000,3,,
28,,,,,,,10,11000,5,,
65,,,,,,,20,13000,3,,
47,,,,,,,20,19000,4,,
33,,,,,,,10,12000,5,,
24,,,,,,,5,12000,2,,
30,,,,,,,12,28500,7,,
27,,,,,,,10,15000,4,,
59,,,,,,,20,15000,5,,
58,,,,,,,20,250000,6,,
49,,,,,,,10,12000,1,,
21,,,,,,,5,3000,5,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
Yaş,,,,,,,Tecrübe,Gelir,Memnuniyet,,
51,,,,,,,20,17000,5,,
23,,,,,,,5,12000,5,,
52,,,,,,,20,9000,6,,
33,,,,,,,12,25000,4,,
51,,,,,,,10,16000,1,,
48,,,,,,,20,12000,2,,
49,,,,,,,20,30000,8,,
27,,,,,,,5,65000,1,,
22,,,,,,,5,4000,1,,
61,,,,,,,20,9300,1,,
33,,,,,,,10,10000,1,,
55,,,,,,,20,80000,10,,
67,,,,,,,20,12000,1,,
54,,,,,,,20,51000,1,,
45,,,,,,,20,17000,1,,
42,,,,,,,15,13000,2,,
53,,,,,,,20,8500,2,,
41,,,,,,,10,10000,5,,
53,,,,,,,20,18000,1,,
43,,,,,,,15,10500,8,,
48,,,,,,,20,15000,3,,
55,,,,,,,20,30000,7,,
61,,,,,,,20,8500,3,,
52,,,,,,,20,14000,2,,
34,,,,,,,12,12000,3,,
45,,,,,,,12,12000,6,,
21,,,,,,,5,9000,5,,
56,,,,,,,20,11000,5,,
26,,,,,,,5,31000,3,,
60,,,,,,,20,15000,3,,
24,,,,,,,5,9000,1,,
55,,,,,,,12,20000,5,,
50,,,,,,,5,12000,6,,
49,,,,,,,12,8000,1,,
44,,,,,,,20,20000,6,,
27,,,,,,,5,25000,7,,
50,,,,,,,15,16000,2,,
30,,,,,,,5,12500,5,,
37,,,,,,,12,16000,4,,
23,,,,,,,5,10000,1,,
50,,,,,,,20,10000,1,,
33,,,,,,,12,11000,3,,
28,,,,,,,10,11000,5,,
65,,,,,,,20,13000,3,,
47,,,,,,,20,19000,4,,
33,,,,,,,10,12000,5,,
24,,,,,,,5,12000,2,,
30,,,,,,,12,28500,7,,
27,,,,,,,10,15000,4,,
59,,,,,,,20,15000,5,,
58,,,,,,,20,250000,6,,
49,,,,,,,10,12000,1,,
21,,,,,,,5,3000,5,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
Yaş,,,,,,,Tecrübe,Gelir,Memnuniyet,,
51,,,,,,,20,17000,5,,
23,,,,,,,5,12000,5,,
52,,,,,,,20,9000,6,,
33,,,,,,,12,25000,4,,
51,,,,,,,10,16000,1,,
48,,,,,,,20,12000,2,,
49,,,,,,,20,30000,8,,
27,,,,,,,5,65000,1,,
22,,,,,,,5,4000,1,,
61,,,,,,,20,9300,1,,
33,,,,,,,10,10000,1,,
55,,,,,,,20,80000,10,,
67,,,,,,,20,12000,1,,
54,,,,,,,20,51000,1,,
45,,,,,,,20,17000,1,,
42,,,,,,,15,13000,2,,
53,,,,,,,20,8500,2,,
41,,,,,,,10,10000,5,,
53,,,,,,,20,18000,1,,
43,,,,,,,15,10500,8,,
48,,,,,,,20,15000,3,,
55,,,,,,,20,30000,7,,
61,,,,,,,20,8500,3,,
52,,,,,,,20,14000,2,,
34,,,,,,,12,12000,3,,
45,,,,,,,12,12000,6,,
21,,,,,,,5,9000,5,,
56,,,,,,,20,11000,5,,
26,,,,,,,5,31000,3,,
60,,,,,,,20,15000,3,,
24,,,,,,,5,9000,1,,
55,,,,,,,12,20000,5,,
50,,,,,,,5,12000,6,,
49,,,,,,,12,8000,1,,
44,,,,,,,20,20000,6,,
27,,,,,,,5,25000,7,,
50,,,,,,,15,16000,2,,
30,,,,,,,5,12500,5,,
37,,,,,,,12,16000,4,,
23,,,,,,,5,10000,1,,
50,,,,,,,20,10000,1,,
33,,,,,,,12,11000,3,,
28,,,,,,,10,11000,5,,
65,,,,,,,20,13000,3,,
47,,,,,,,20,19000,4,,
33,,,,,,,10,12000,5,,
24,,,,,,,5,12000,2,,
30,,,,,,,12,28500,7,,
27,,,,,,,10,15000,4,,
59,,,,,,,20,15000,5,,
58,,,,,,,20,250000,6,,
49,,,,,,,10,12000,1,,
21,,,,,,,5,3000,5,,